family,n_cells,majority_agree_pct,within_noise_pct,median_noise_dist,mae_pp,signed_err_pp,noise_hist,n_with_noise
democracy/governance,2861,83.7,12.4,3.79,10.51,0.14,"{""<=1"": 12.4, ""1-2"": 13.9, ""2-4"": 26.4, "">4"": 47.3}",742
economy,1141,79.5,18.3,3.55,11.51,0.21,"{""<=1"": 18.3, ""1-2"": 7.1, ""2-4"": 28.6, "">4"": 46.0}",126
intl-relations,1162,79.7,17.5,3.71,11.36,0.28,"{""<=1"": 17.5, ""1-2"": 15.9, ""2-4"": 19.0, "">4"": 47.6}",63
other,14161,83.4,14.1,3.81,10.74,-0.03,"{""<=1"": 14.2, ""1-2"": 14.3, ""2-4"": 23.5, "">4"": 48.0}",10493
religion/values,1163,86.0,15.9,3.91,9.98,0.29,"{""<=1"": 16.0, ""1-2"": 11.4, ""2-4"": 23.2, "">4"": 49.4}",624
security,553,87.9,14.9,3.65,10.24,-0.04,"{""<=1"": 14.9, ""1-2"": 12.5, ""2-4"": 27.8, "">4"": 44.8}",248
tech/climate,735,90.5,15.5,2.97,8.33,0.84,"{""<=1"": 15.5, ""1-2"": 19.8, ""2-4"": 27.3, "">4"": 37.3}",373
